title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
ANYA AT SHOREA PARK,New Launch,Serviced Residence,Freehold,Residential,440000.0,915,3,2,2,House,Puchong,Selangor
ANYA AT SHOREA PARK,New Launch,Serviced Residence,Freehold,Residential,550000.0,1195,3,2,2,House,Puchong,Selangor
Bon Kiara,New Launch,Condominium,Freehold,Residential,1317200.0,2081,3,4,2,House,Mont Kiara,Kuala Lumpur
Bon Kiara,New Launch,Condominium,Freehold,Residential,1538810.0,2558,4,5,3,House,Mont Kiara,Kuala Lumpur
Bon Kiara,New Launch,Condominium,Freehold,Residential,1697230.0,2888,4,5,6,House,Mont Kiara,Kuala Lumpur
"D'Suites, Horizon Hills",Open for Sale,Condominium,Freehold,Residential,1066800.0,1496,3,3,0,House,Iskandar Puteri (Nusajaya),Johor
"D'Suites, Horizon Hills",Open for Sale,Condominium,Freehold,Residential,799800.0,1076,3,2,0,House,Iskandar Puteri (Nusajaya),Johor
"D'Suites, Horizon Hills",Open for Sale,Condominium,Freehold,Residential,650800.0,861,2,2,0,House,Iskandar Puteri (Nusajaya),Johor
J.Satine Residensi Wilayah,New Launch,Apartment,Leasehold,Commercial,300000.0,800,3,2,1,House,Setapak,Kuala Lumpur
HANA Eco Ardence,New Launch,Apartment,Freehold,Commercial,469000.0,900,3,2,2,House,Shah Alam,Selangor
Emerald Garden 3,Open for Sale,1-sty Terrace/Link House,Freehold,Residential,337900.0,1498,4,2,2,House,Batu Pahat,Johor
Emerald Garden 3,Open for Sale,1-sty Terrace/Link House,Freehold,Residential,495780.0,1602,4,2,2,House,Batu Pahat,Johor
Kita Bestari (Townhouse),New Launch,Townhouse,Malay Reserved Land,Residential,459900.0,1346,3,2,2,House,Dengkil,Selangor
Prestige Residence,New Launch,Serviced Residence,Leasehold,Residential,270000.0,600,2,2,2,House,Seri Kembangan,Selangor
Prestige Residence,New Launch,Serviced Residence,Leasehold,Residential,440900.0,800,3,2,2,House,Seri Kembangan,Selangor
Prestige Residence,New Launch,Serviced Residence,Leasehold,Residential,466900.0,850,3,2,2,House,Seri Kembangan,Selangor
Ritma Perdana (Townhouse),New Launch,Townhouse,Leasehold,Residential,418000.0,1191,3,2,0,House,Kuala Selangor,Selangor
Ritma Perdana (Townhouse),New Launch,Townhouse,Leasehold,Residential,452000.0,1191,3,2,0,House,Kuala Selangor,Selangor
The Logg - Shorea,New Launch,Serviced Residence,Leasehold,Residential,1037000.0,1313,3,2,2,House,Kota Kinabalu,Sabah
The Logg - Shorea,New Launch,Serviced Residence,Leasehold,Residential,990000.0,1238,3,2,2,House,Kota Kinabalu,Sabah
The Logg - Shorea,New Launch,Serviced Residence,Leasehold,Residential,702000.0,681,2,1,1,House,Kota Kinabalu,Sabah
Lot 26 Austin,Open for Registration,Shop Office,Freehold,Commercial,199271.0,287,0,1,0,Shop or Office,Mount Austin,Johor
Lot 26 Austin,Open for Registration,Shop Office,Freehold,Commercial,178200.0,305,0,1,0,Shop or Office,Mount Austin,Johor
Lot 26 Austin,Open for Registration,Shop Office,Freehold,Commercial,255470.0,477,0,1,0,Shop or Office,Mount Austin,Johor
Casablanca 3,Open for Sale,Cluster House,Freehold,Residential,1702800.0,3048,4,5,2,House,Shah Alam,Selangor
Casablanca 3,Open for Sale,Cluster House,Freehold,Residential,1458000.0,2341,4,5,2,House,Shah Alam,Selangor
Intrika,New Launch,2-sty Terrace/Link House,Freehold,Residential,886800.0,2322,4,4,2,House,Semenyih,Selangor
Intrika,New Launch,2-sty Terrace/Link House,Freehold,Residential,701800.0,1914,4,3,2,House,Semenyih,Selangor
Intrika,New Launch,2-sty Terrace/Link House,Freehold,Residential,714800.0,1927,4,3,2,House,Semenyih,Selangor
Taman Bukit Koman 2 Fasa 3,New Launch,1-sty Terrace/Link House,Leasehold,Residential,297000.0,924,3,2,2,House,Raub,Pahang
Talisa @ Bangsar Hill Park,New Launch,Condominium,Leasehold,Residential,1123000.0,978,3,2,0,House,Bangsar,Kuala Lumpur
Talisa @ Bangsar Hill Park,New Launch,Condominium,Leasehold,Residential,1114000.0,917,2,2,0,House,Bangsar,Kuala Lumpur
Talisa @ Bangsar Hill Park,New Launch,Condominium,Leasehold,Residential,1568000.0,1435,3,3,0,House,Bangsar,Kuala Lumpur
"Phase 6M, Rini Homes 8",Open for Sale,2-sty Terrace/Link House,Leasehold,Residential,672000.0,2280,4,4,0,House,Skudai,Johor
Isadora,New Launch,2-sty Terrace/Link House,Freehold,Residential,1158000.0,2266,4,4,4,House,Cyberjaya,Selangor
Isle of Fantasia,New Launch,Semi-detached House,Freehold,Residential,2132000.0,2833,4,5,0,House,Cyberjaya,Selangor
Isle of Fantasia,New Launch,Semi-detached House,Freehold,Residential,3752000.0,4100,5,6,0,House,Cyberjaya,Selangor
BANYAN,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,728000.0,1777,4,3,2,House,Semenyih,Selangor
BANYAN,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,1015000.0,1901,4,4,2,House,Semenyih,Selangor
Jimbaran,New Launch,2-sty Terrace/Link House,Leasehold,Residential,1898000.0,2780,4,4,2,House,Rawang,Selangor
Jimbaran,New Launch,2-sty Terrace/Link House,Leasehold,Residential,1228000.0,2230,4,3,2,House,Rawang,Selangor
Sky Loft,New Launch,Apartment,Freehold,Commercial,1660500.0,2575,4,5,3,House,Iskandar Puteri (Nusajaya),Johor
Sky Loft,New Launch,Apartment,Freehold,Commercial,2286900.0,3547,4,5,3,House,Iskandar Puteri (Nusajaya),Johor
Serambi Villa Bungalow,Open for Sale,Bungalow,Freehold,Residential,2569000.0,4022,5,5,6,House,Kajang,Selangor
Serambi Villa Bungalow,Open for Sale,Bungalow,Freehold,Residential,2846000.0,3988,4,4,6,House,Kajang,Selangor
ViiA Residences at KL Eco City,Open for Sale,Serviced Residence,Leasehold,Commercial,1142760.0,672,1,1,1,House,Bangsar,Kuala Lumpur
ViiA Residences at KL Eco City,Open for Sale,Serviced Residence,Leasehold,Commercial,1328320.0,689,1,1,1,House,Bangsar,Kuala Lumpur
ViiA Residences at KL Eco City,Open for Sale,Serviced Residence,Leasehold,Commercial,1506560.0,956,2,2,2,House,Bangsar,Kuala Lumpur
Aderyn,New Launch,2-sty Terrace/Link House,Freehold,Residential,667000.0,1685,4,3,2,House,Kajang,Selangor
Aderyn,New Launch,2-sty Terrace/Link House,Freehold,Residential,667000.0,1687,4,3,2,House,Kajang,Selangor
Chorus,New Launch,2-sty Terrace/Link House,Freehold,Residential,868000.0,2080,4,4,2,House,Semenyih,Selangor
Chorus,New Launch,2-sty Terrace/Link House,Freehold,Residential,1004000.0,2159,4,4,2,House,Semenyih,Selangor
Damaran,New Launch,Semi-detached House,Freehold,Residential,1327000.0,2505,4,4,2,House,Semenyih,Selangor
Damaran,New Launch,Semi-detached House,Freehold,Residential,1295000.0,2426,4,4,2,House,Semenyih,Selangor
Damaran,New Launch,Semi-detached House,Freehold,Residential,1179000.0,2285,4,4,2,House,Semenyih,Selangor
Ferrous 2,New Launch,2-sty Terrace/Link House,Freehold,Residential,984222.0,1900,4,4,2,House,Shah Alam,Selangor
Ferrous 2,New Launch,2-sty Terrace/Link House,Freehold,Residential,1493111.0,2097,4,4,2,House,Shah Alam,Selangor
Reineville,New Launch,Bungalow,Freehold,Residential,2155000.0,3531,3,3,3,House,Semenyih,Selangor
